name,region,country,lat,lon,tz_id,localtime_epoch,localtime,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,vis_km,vis_miles,gust_mph,gust_kph,real_city_name,text,icon,code
Bonfim,Sao Paulo,Brazil,-23.08,-45.19,America/Sao_Paulo,1700261967,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,Lagoinha,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Natividade Da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,23.0,73.4,0.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,140.0,SE,1006.0,29.69,0.0,0.0,76.0,11.0,25.0,77.1,10.0,6.0,7.0,11.3,Natividade da Serra,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Natividade Da Serra,Sao Paulo,Brazil,-23.37,-45.45,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,23.0,73.4,0.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,5.4,140.0,SE,1006.0,29.69,0.0,0.0,76.0,11.0,25.0,77.1,10.0,6.0,7.0,11.3,Natividade da Serra,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,1000
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Pindamonhangaba,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Pindamonhangaba,Sao Paulo,Brazil,-22.92,-45.46,America/Sao_Paulo,1700261968,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Pindamonhangaba,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Redencao Da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.2,81.0,10.0,6.0,5.6,9.1,Redenção da Serra,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Redencao Da Serra,Sao Paulo,Brazil,-23.26,-45.54,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.2,81.0,10.0,6.0,5.6,9.1,Redenção da Serra,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Santo Antônio do Pinhal,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Campos Do Jordao,Sao Paulo,Brazil,-22.83,-45.66,America/Sao_Paulo,1700261969,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,Santo Antônio do Pinhal,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraisopolis,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,São Bento do Sapucaí,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Paraisopolis,Minas Gerais,Brazil,-22.68,-45.73,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.0,11.3,São Bento do Sapucaí,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Luiz Do Parahytinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,São Luiz do Paraitinga,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Sao Luiz Do Parahytinga,Sao Paulo,Brazil,-23.22,-45.31,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,28.1,82.6,10.0,6.0,8.5,13.6,São Luiz do Paraitinga,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Taubate,Sao Paulo,Brazil,-23.01,-45.56,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.4,81.3,10.0,6.0,7.0,11.3,Taubaté,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Taubate,Sao Paulo,Brazil,-23.01,-45.56,America/Sao_Paulo,1700261970,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.4,81.3,10.0,6.0,7.0,11.3,Taubaté,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Tremembe,Sao Paulo,Brazil,-22.96,-45.55,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.5,12.1,Tremembé,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Tremembe,Sao Paulo,Brazil,-22.96,-45.55,America/Sao_Paulo,1700261971,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,27.0,80.6,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,190.0,S,1008.0,29.77,0.0,0.0,58.0,50.0,27.6,81.7,10.0,6.0,7.5,12.1,Tremembé,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Aparecida,Sao Paulo,Brazil,-22.85,-45.23,America/Sao_Paulo,1700261929,2023-11-17 19:58,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.9,91.3,10.0,6.0,5.2,8.3,Aparecida,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Aparecida,Sao Paulo,Brazil,-22.85,-45.23,America/Sao_Paulo,1700261929,2023-11-17 19:58,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.9,91.3,10.0,6.0,5.2,8.3,Aparecida,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cruzeiro,Sao Paulo,Brazil,-22.67,-45.02,America/Sao_Paulo,1700261973,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.7,90.8,10.0,6.0,3.3,5.3,Cachoeira Paulista,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cruzeiro,Sao Paulo,Brazil,-22.67,-45.02,America/Sao_Paulo,1700261973,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.7,90.8,10.0,6.0,3.3,5.3,Cachoeira Paulista,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Lorena,Sao Paulo,Brazil,-22.7,-45.05,America/Sao_Paulo,1700261974,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.7,90.8,10.0,6.0,3.3,5.3,Canas,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Lorena,Sao Paulo,Brazil,-22.7,-45.05,America/Sao_Paulo,1700261974,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.7,90.8,10.0,6.0,3.3,5.3,Canas,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cunha,Sao Paulo,Brazil,-23.07,-44.96,America/Sao_Paulo,1700261974,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,34.5,94.0,10.0,6.0,8.5,13.6,Cunha,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Cunha,Sao Paulo,Brazil,-23.07,-44.96,America/Sao_Paulo,1700261974,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,34.5,94.0,10.0,6.0,8.5,13.6,Cunha,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Guaratingueta,Sao Paulo,Brazil,-22.81,-45.19,America/Sao_Paulo,1700261974,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,33.1,91.7,10.0,6.0,8.9,14.4,Guaratinguetá,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Guaratingueta,Sao Paulo,Brazil,-22.81,-45.19,America/Sao_Paulo,1700261974,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,33.1,91.7,10.0,6.0,8.9,14.4,Guaratinguetá,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Lorena,Sao Paulo,Brazil,-22.73,-45.12,America/Sao_Paulo,1700261975,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.8,91.1,10.0,6.0,4.7,7.6,Lorena,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Lorena,Sao Paulo,Brazil,-22.73,-45.12,America/Sao_Paulo,1700261975,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.8,91.1,10.0,6.0,4.7,7.6,Lorena,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
Piquete,Sao Paulo,Brazil,-22.61,-45.19,America/Sao_Paulo,1700261976,2023-11-17 19:59,1700261100.0,2023-11-17 19:45,31.0,87.8,0.0,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}",3.8,6.1,240.0,WSW,1009.0,29.8,0.0,0.0,49.0,50.0,32.8,91.1,10.0,6.0,4.7,7.6,Piquete,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,1003
